Дата,Категория,Товар,Количество продаж,Цена_за_ед,Себестоимость_ед,Выручка,Прибыль
2026-03-01,Электроника,Умная колонка X,43,1360,618.84,58480,31869.82
2026-03-01,Электроника,Беспроводные наушники Y,12,4272,2473.72,51264,21579.32
2026-03-01,Аксессуары,Чехол для смартфона Z,23,4926,2649.08,113298,52369.21
2026-03-01,Аксессуары,Зарядный кабель,40,3419,2093.87,136760,53005.2
2026-03-01,Дом и сад,Увлажнитель воздуха,26,1269,782.46,32994,12649.91
2026-03-01,Дом и сад,Настольная лампа,34,2933,1333.19,99722,54393.62
2026-03-01,Одежда,Футболка Basic,25,1684,827.3,42100,21417.42
2026-03-01,Одежда,Худи Oversize,26,3404,1659.0,88504,45369.92
2026-03-02,Электроника,Умная колонка X,46,2547,1242.03,117162,60028.72
2026-03-02,Электроника,Беспроводные наушники Y,20,2306,1237.91,46120,21361.82
2026-03-02,Аксессуары,Чехол для смартфона Z,48,1767,1020.84,84816,35815.73
2026-03-02,Аксессуары,Зарядный кабель,7,4056,2361.66,28392,11860.38
2026-03-02,Дом и сад,Увлажнитель воздуха,25,3388,1421.32,84700,49167.04
2026-03-02,Дом и сад,Настольная лампа,8,1100,758.66,8800,2730.73
2026-03-02,Одежда,Футболка Basic,13,3112,1460.36,40456,21471.29
2026-03-02,Одежда,Худи Oversize,32,1978,1153.17,63296,26394.5
2026-03-03,Электроника,Умная колонка X,12,4514,2040.37,54168,29683.56
2026-03-03,Электроника,Беспроводные наушники Y,21,2455,1116.22,51555,28114.45
2026-03-03,Аксессуары,Чехол для смартфона Z,8,3573,1884.92,28584,13504.6
2026-03-03,Аксессуары,Зарядный кабель,46,4343,1978.05,199778,108787.84
2026-03-03,Дом и сад,Увлажнитель воздуха,22,661,342.76,14542,7001.32
2026-03-03,Дом и сад,Настольная лампа,40,3842,1638.8,153680,88128.14
2026-03-03,Одежда,Футболка Basic,27,1775,734.08,47925,28104.74
2026-03-03,Одежда,Худи Oversize,44,837,470.32,36828,16134.07
2026-03-04,Электроника,Умная колонка X,28,4493,3098.27,125804,39052.51
2026-03-04,Электроника,Беспроводные наушники Y,49,2562,1151.82,125538,69098.62
2026-03-04,Аксессуары,Чехол для смартфона Z,29,3068,1937.97,88972,32770.75
2026-03-04,Аксессуары,Зарядный кабель,48,3195,1283.29,153360,91761.94
2026-03-04,Дом и сад,Увлажнитель воздуха,15,891,551.26,13365,5096.05
2026-03-04,Дом и сад,Настольная лампа,37,4974,2100.09,184038,106334.69
2026-03-04,Одежда,Футболка Basic,43,3599,2371.49,154757,52782.81
2026-03-04,Одежда,Худи Oversize,12,3604,1510.32,43248,25124.17
2026-03-05,Электроника,Умная колонка X,27,4145,2062.37,111915,56231.13
2026-03-05,Электроника,Беспроводные наушники Y,39,3231,1910.38,126009,51504.01
2026-03-05,Аксессуары,Чехол для смартфона Z,31,2070,1121.25,64170,29411.39
2026-03-05,Аксессуары,Зарядный кабель,41,3190,2004.07,130790,48623.08
2026-03-05,Дом и сад,Увлажнитель воздуха,30,1002,632.55,30060,11083.42
2026-03-05,Дом и сад,Настольная лампа,43,4988,3058.64,214484,82962.65
2026-03-05,Одежда,Футболка Basic,30,1984,913.66,59520,32110.1
2026-03-05,Одежда,Худи Oversize,36,3290,1785.19,118440,54173.15
2026-03-06,Электроника,Умная колонка X,36,2257,997.14,81252,45354.91
